FFT
power: 4
N:  1296
N1: 216
N2: 36
N3: 6
0,0,0,0	0->0
0,0,0,1	1->216
0,0,0,2	2->432
0,0,0,3	3->648
0,0,0,4	4->864
0,0,0,5	5->1080
0,0,1,0	6->36
0,0,1,1	7->252
0,0,1,2	8->468
0,0,1,3	9->684
0,0,1,4	10->900
0,0,1,5	11->1116
0,0,2,0	12->72
0,0,2,1	13->288
0,0,2,2	14->504
0,0,2,3	15->720
0,0,2,4	16->936
0,0,2,5	17->1152
0,0,3,0	18->108
0,0,3,1	19->324
0,0,3,2	20->540
0,0,3,3	21->756
0,0,3,4	22->972
0,0,3,5	23->1188
0,0,4,0	24->144
0,0,4,1	25->360
0,0,4,2	26->576
0,0,4,3	27->792
0,0,4,4	28->1008
0,0,4,5	29->1224
0,0,5,0	30->180
0,0,5,1	31->396
0,0,5,2	32->612
0,0,5,3	33->828
0,0,5,4	34->1044
0,0,5,5	35->1260
0,1,0,0	36->6
0,1,0,1	37->222
0,1,0,2	38->438
0,1,0,3	39->654
0,1,0,4	40->870
0,1,0,5	41->1086
0,1,1,0	42->42
0,1,1,1	43->258
0,1,1,2	44->474
0,1,1,3	45->690
0,1,1,4	46->906
0,1,1,5	47->1122
0,1,2,0	48->78
0,1,2,1	49->294
0,1,2,2	50->510
0,1,2,3	51->726
0,1,2,4	52->942
0,1,2,5	53->1158
0,1,3,0	54->114
0,1,3,1	55->330
0,1,3,2	56->546
0,1,3,3	57->762
0,1,3,4	58->978
0,1,3,5	59->1194
0,1,4,0	60->150
0,1,4,1	61->366
0,1,4,2	62->582
0,1,4,3	63->798
0,1,4,4	64->1014
0,1,4,5	65->1230
0,1,5,0	66->186
0,1,5,1	67->402
0,1,5,2	68->618
0,1,5,3	69->834
0,1,5,4	70->1050
0,1,5,5	71->1266
0,2,0,0	72->12
0,2,0,1	73->228
0,2,0,2	74->444
0,2,0,3	75->660
0,2,0,4	76->876
0,2,0,5	77->1092
0,2,1,0	78->48
0,2,1,1	79->264
0,2,1,2	80->480
0,2,1,3	81->696
0,2,1,4	82->912
0,2,1,5	83->1128
0,2,2,0	84->84
0,2,2,1	85->300
0,2,2,2	86->516
0,2,2,3	87->732
0,2,2,4	88->948
0,2,2,5	89->1164
0,2,3,0	90->120
0,2,3,1	91->336
0,2,3,2	92->552
0,2,3,3	93->768
0,2,3,4	94->984
0,2,3,5	95->1200
0,2,4,0	96->156
0,2,4,1	97->372
0,2,4,2	98->588
0,2,4,3	99->804
0,2,4,4	100->1020
0,2,4,5	101->1236
0,2,5,0	102->192
0,2,5,1	103->408
0,2,5,2	104->624
0,2,5,3	105->840
0,2,5,4	106->1056
0,2,5,5	107->1272
0,3,0,0	108->18
0,3,0,1	109->234
0,3,0,2	110->450
0,3,0,3	111->666
0,3,0,4	112->882
0,3,0,5	113->1098
0,3,1,0	114->54
