FFT
N: 216
power: 3
N1: 36
N2: 6
0,0,0	0->0
0,0,1	1->36
0,0,2	2->72
0,0,3	3->108
0,0,4	4->144
0,0,5	5->180
0,1,0	6->6
0,1,1	7->42
0,1,2	8->78
0,1,3	9->114
0,1,4	10->150
0,1,5	11->186
0,2,0	12->12
0,2,1	13->48
0,2,2	14->84
0,2,3	15->120
0,2,4	16->156
0,2,5	17->192
0,3,0	18->18
0,3,1	19->54
0,3,2	20->90
0,3,3	21->126
0,3,4	22->162
0,3,5	23->198
0,4,0	24->24
0,4,1	25->60
0,4,2	26->96
0,4,3	27->132
0,4,4	28->168
0,4,5	29->204
0,5,0	30->30
0,5,1	31->66
0,5,2	32->102
0,5,3	33->138
0,5,4	34->174
0,5,5	35->210
1,0,0	36->1
1,0,1	37->37
1,0,2	38->73
1,0,3	39->109
1,0,4	40->145
1,0,5	41->181
1,1,0	42->7
1,1,1	43->43
1,1,2	44->79
1,1,3	45->115
1,1,4	46->151
1,1,5	47->187
1,2,0	48->13
1,2,1	49->49
1,2,2	50->85
1,2,3	51->121
1,2,4	52->157
1,2,5	53->193
1,3,0	54->19
1,3,1	55->55
1,3,2	56->91
1,3,3	57->127
1,3,4	58->163
1,3,5	59->199
1,4,0	60->25
1,4,1	61->61
1,4,2	62->97
1,4,3	63->133
1,4,4	64->169
1,4,5	65->205
1,5,0	66->31
1,5,1	67->67
1,5,2	68->103
1,5,3	69->139
1,5,4	70->175
1,5,5	71->211
2,0,0	72->2
2,0,1	73->38
2,0,2	74->74
2,0,3	75->110
2,0,4	76->146
2,0,5	77->182
2,1,0	78->8
2,1,1	79->44
2,1,2	80->80
2,1,3	81->116
2,1,4	82->152
2,1,5	83->188
2,2,0	84->14
2,2,1	85->50
2,2,2	86->86
2,2,3	87->122
2,2,4	88->158
2,2,5	89->194
2,3,0	90->20
2,3,1	91->56
2,3,2	92->92
2,3,3	93->128
2,3,4	94->164
2,3,5	95->200
2,4,0	96->26
2,4,1	97->62
2,4,2	98->98
2,4,3	99->134
2,4,4	100->170
2,4,5	101->206
2,5,0	102->32
2,5,1	103->68
2,5,2	104->104
2,5,3	105->140
2,5,4	106->176
2,5,5	107->212
3,0,0	108->3
3,0,1	109->39
3,0,2	110->75
3,0,3	111->111
3,0,4	112->147
3,0,5	113->183
3,1,0	114->9
3,1,1	115->45
3,1,2	116->81
3,1,3	117->117
3,1,4	118->153
3,1,5	119->189
3,2,0	120->15
3,2,1	121->51
3,2,2	122->87
3,2,3	123->123
3,2,4	124->159
3,2,5	125->195
3,3,0	126->21
3,3,1	127->57
3,3,2	128->93
3,3,3	129->129
3,3,4	130->165
3,3,5	131->201
3,4,0	132->27
3,4,1	133->63
3,4,2	134->99
3,4,3	135->135
3,4,4	136->171
3,4,5	137->207
3,5,0	138->33
3,5,1	139->69
3,5,2	140->105
3,5,3	141->141
3,5,4	142->177
3,5,5	143->213
4,0,0	144->4
4,0,1	145->40
4,0,2	146->76
4,0,3	147->112
4,0,4	148->148
4,0,5	149->184
4,1,0	150->10
4,1,1	151->46
4,1,2	152->82
4,1,3	153->118
4,1,4	154->154
4,1,5	155->190
4,2,0	156->16
4,2,1	157->52
4,2,2	158->88
4,2,3	159->124
4,2,4	160->160
4,2,5	161->196
4,3,0	162->22
4,3,1	163->58
4,3,2	164->94
4,3,3	165->130
4,3,4	166->166
4,3,5	167->202
4,4,0	168->28
4,4,1	169->64
4,4,2	170->100
4,4,3	171->136
4,4,4	172->172
4,4,5	173->208
4,5,0	174->34
4,5,1	175->70
4,5,2	176->106
4,5,3	177->142
4,5,4	178->178
4,5,5	179->214
5,0,0	180->5
5,0,1	181->41
5,0,2	182->77
5,0,3	183->113
5,0,4	184->149
5,0,5	185->185
5,1,0	186->11
5,1,1	187->47
5,1,2	188->83
5,1,3	189->119
5,1,4	190->155
5,1,5	191->191
5,2,0	192->17
5,2,1	193->53
5,2,2	194->89
5,2,3	195->125
5,2,4	196->161
5,2,5	197->197
5,3,0	198->23
5,3,1	199->59
5,3,2	200->95
5,3,3	201->131
5,3,4	202->167
5,3,5	203->203
5,4,0	204->29
5,4,1	205->65
5,4,2	206->101
5,4,3	207->137
5,4,4	208->173
5,4,5	209->209
5,5,0	210->35
5,5,1	211->71
5,5,2	212->107
5,5,3	213->143
5,5,4	214->179
5,5,5	215->215
